timestamp,ground_truth_timestamp,device_id,event_type,value
2024-04-23 13:10:55,2024-04-23 13:10:55,Laptop01,motion_001,1
2024-04-23 13:11:10,2024-04-23 13:11:10,Laptop01,motion_002,1
2024-04-23 13:11:42,2024-04-23 13:11:42,Laptop01,motion_003,1
2024-04-23 13:12:05,2024-04-23 13:12:05,Laptop01,motion_004,1
2024-04-23 13:12:37,2024-04-23 13:12:37,Laptop01,motion_005,1
2024-04-23 13:18:10,2024-04-23 13:13:10,Laptop01,motion_006,1
2024-04-23 13:13:45,2024-04-23 13:13:45,Laptop01,motion_007,1
2024-04-23 13:14:15,2024-04-23 13:14:15,Laptop01,motion_008,1
2024-04-23 13:15:00,2024-04-23 13:15:00,Laptop01,motion_009,1
2024-04-23 13:16:20,2024-04-23 13:16:20,Laptop01,motion_010,1
